Text,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour
"Just signed up for the Nike Run Club app, ready to crush my goals.",TravelExplorer,Facebook,#Nike,25,50,USA,2023,2,23,19
Wondering if Nike offers any sustainability initiatives in their production process.,CharityAdmirer,Twitter,#Nike,20,40,USA,2023,2,24,11
Excited to break in my new Nike running shoes on the trails this weekend.,FamilyLover,Instagram,#Nike,15,30,USA,2023,2,24,16
"Considering trying out Nike's new running shoes, anyone tried them yet?",Stargazer,Facebook,#Nike,22,45,Australia,2023,2,24,20
"Received my Nike order faster than expected, great job on the delivery!",ProjectStruggle,Twitter,#Nike,18,35,India,2023,2,25,9
Can always count on Nike for top-notch quality and style.,JoyfulReunion,Instagram,#Nike,25,50,USA,2023,2,25,14
Had a bad experience with a rude staff member at a Nike store.,LifeAcceptance,Facebook,#Nike,15,30,Canada,2023,2,25,18
My Nike gear is my go-to for both workouts and casual wear.,PuppyAdmirer,Twitter,#Nike,22,45,UK,2023,2,26,10
"Heard mixed reviews about Nike's latest collection, not sure if it's worth it.",MovieBuff2,Instagram,#Nike,20,40,Australia,2023,2,26,7
Nike's customer service team was super helpful in resolving an issue with my order.,CustomerWoes,Facebook,#Nike,18,35,USA,2023,2,26,15
Nike's marketing team always knows how to create buzz around their products.,CalmSoul,Twitter,#Nike,15,30,India,2023,2,27,9
Nike's commitment to innovation keeps me coming back for more.,ConfusedMind2,Instagram,#Nike,25,50,UK,2023,2,27,14
"My Nike Air Jordans are a timeless classic, never going out of style.",BirthdayExcite,Facebook,#Nike,22,45,Canada,2023,2,27,18
Feeling motivated after reading Nike's latest inspirational quote.,KindnessObserver,Twitter,#Nike,20,40,USA,2023,2,28,11
Nike's dedication to empowering athletes of all abilities is inspiring.,FitAchiever,Instagram,#Nike,30,60,UK,2023,2,28,16
Rocking my Nike gear gives me an instant confidence boost.,ReflectiveSelf2,Facebook,#Nike,15,30,India,2023,2,28,19
"Just hit a new personal record in my Nike running shoes, feels amazing!",DiversityLover,Twitter,#Nike,22,45,Australia,2023,3,1,10
Nike's social media presence always keeps me engaged and inspired.,BookwormJoy,Instagram,#Nike,18,35,USA,2023,3,1,13
"My Nike backpack is durable and functional, perfect for everyday use.",WorkplaceWoes,Twitter,#Nike,15,30,Canada,2023,3,1,17
"Nike's commercials always tug at my heartstrings, well done!",MindfulMe,Facebook,#Nike,15,30,UK,2023,3,2,18
Nothing beats the feeling of breaking in a new pair of Nike sneakers.,ConfusedMind3,Instagram,#Nike,30,60,USA,2023,3,2,13
Excited to see what Nike has in store for their next product launch.,RoadTripper2,Twitter,#Nike,25,50,India,2023,3,2,16
Nike's commitment to equality and social justice is admirable.,KindnessPrevails2,Facebook,#Nike,22,45,USA,2023,3,3,11
"Just placed another order on the Nike website, can't wait for it to arrive!",GoalAchiever,Instagram,#Nike,12,25,Canada,2023,3,3,14
Loving the attention to detail in my new Nike sneakers.,ReflectiveSelf3,Twitter,#Nike,15,30,UK,2023,3,3,12
Feeling disappointed with the lack of color options in my favorite Nike shorts.,NostalgiaFan,Twitter,#Nike,20,40,Canada,2010,5,15,15
Nike's commitment to community outreach is commendable.,SportsFanatic,Instagram,#Nike,15,30,USA,2021,8,10,21
Can't wait to break in my new Nike hiking boots on the trails.,NatureLover2,Facebook,#Nike,25,50,India,2011,6,20,14
Disappointed with the lack of durability in my Nike duffle bag.,ZenMaster2,Twitter,#Nike,18,35,UK,2022,2,12,18
"Just placed an order for the new Nike swimsuit, hoping it fits well.",ThankfulHeart,Instagram,#Nike,30,60,Australia,2012,11,25,10
Excited to participate in the upcoming Nike sponsored basketball tournament.,OptimisticSoul,Facebook,#Nike,22,45,USA,2013,4,5,19
Wondering if Nike will ever release a line of sustainable swimwear.,CommunityLeader,Twitter,#Nike,15,30,UK,2014,9,14,8
Feeling proud to support a brand like Nike that stands for equality and justice.,CharitySupporter,Instagram,#Nike,18,35,Canada,2015,7,18,14
Can't wait to hit the slopes in my new Nike snowboarding gear.,LovingHeart,Facebook,#Nike,25,50,UK,2016,2,23,19
Disappointed with the lack of responsiveness from Nike's customer service team.,ExcitementFan,Twitter,#Nike,20,40,Australia,2017,10,30,11
Loving the retro design of my new Nike sneakers.,ProjectEnthusiast,Instagram,#Nike,15,30,USA,2018,6,15,16
Feeling disappointed with the lack of support in my Nike sports bra.,MilestoneAchiever,Facebook,#Nike,22,45,India,2019,3,28,18
"Just received my Nike order, everything looks perfect!",HistoryLover,Twitter,#Nike,18,35,UK,2019,11,11,15
Loving the versatility of my new Nike backpack.,JoyfulReunion2,Instagram,#Nike,25,50,Canada,2020,4,2,9
Excited to try out the new Nike trail running shoes.,MusicEnthusiast,Facebook,#Nike,15,30,USA,2021,6,19,14
Feeling disappointed with the lack of size options in my favorite Nike shirt.,SimpleJoys,Twitter,#Nike,30,60,Australia,2010,8,15,10
Nike's dedication to innovation keeps me coming back for more.,BookLover3,Instagram,#Nike,22,45,UK,2011,9,22,19
"Just completed my first run with the Nike Run Club app, feeling accomplished!",SupportiveFriend,Facebook,#Nike,15,30,India,2012,3,10,8
Disappointed with the lack of durability in my Nike duffle bag.,JourneyOptimist,Twitter,#Nike,18,35,Canada,2013,12,5,16
"Just placed an order for the new Nike swimsuit, hoping it fits well.",GrowthSeeker,Instagram,#Nike,25,50,USA,2014,7,20,11
Excited to participate in the upcoming Nike sponsored basketball tournament.,HolidayHelper,Facebook,#Nike,18,35,USA,2015,12,22,14
Wondering if Nike will ever release a line of sustainable swimwear.,WinterWarmth,Twitter,#Nike,25,50,UK,2016,2,10,19
Feeling proud to support a brand like Nike that stands for equality and justice.,AdventureAwaits,Instagram,#Nike,20,40,Australia,2017,4,30,11
Can't wait to hit the slopes in my new Nike snowboarding gear.,CreativeSpirit,Facebook,#Nike,15,30,Canada,2018,9,15,16
Disappointed with the lack of responsiveness from Nike's customer service team.,FitnessAchiever,Twitter,#Nike,22,45,India,2019,6,28,18
Loving the retro design of my new Nike sneakers.,ArtAppreciator,Instagram,#Nike,18,35,UK,2020,11,11,15
Feeling disappointed with the lack of support in my Nike sports bra.,GoalAchiever2,Facebook,#Nike,25,50,USA,2021,3,2,9
"Just received my Nike order, everything looks perfect!",UrbanExplorer2,Twitter,#Nike,20,40,USA,2012,2,18,14
Loving the versatility of my new Nike backpack.,BirthdayJoy,Instagram,#Nike,15,30,UK,2018,11,5,21
Excited to try out the new Nike trail running shoes.,HomeChef,Facebook,#Nike,25,50,India,2015,9,12,13
Feeling disappointed with the lack of size options in my favorite Nike shirt.,MusicLover4,Twitter,#Nike,18,35,Canada,2016,7,30,18
Nike's dedication to innovation keeps me coming back for more.,CommunityLove,Instagram,#Nike,30,60,USA,2013,4,20,10
Disappointed with the lack of durability in my Nike duffle bag.,ProductLaunchJoy,Facebook,#Nike,15,30,USA,2022,4,3,11
"Just placed an order for the new Nike swimsuit, hoping it fits well.",LovingEmbrace,Twitter,#Nike,30,60,India,2010,11,12,20
Excited to participate in the upcoming Nike sponsored basketball tournament.,SunsetWatcher2,Instagram,#Nike,22,45,Canada,2011,7,22,18
Wondering if Nike will ever release a line of sustainable swimwear.,JoyfulHeart2,Facebook,#Nike,15,30,Australia,2012,3,30,11
Feeling proud to support a brand like Nike that stands for equality and justice.,GrowthOptimist,Twitter,#Nike,18,35,UK,2013,10,5,16
Can't wait to hit the slopes in my new Nike snowboarding gear.,SkillEmpower,Instagram,#Nike,25,50,India,2014,7,10,13
Disappointed with the lack of responsiveness from Nike's customer service team.,CharityVolunteer,Facebook,#Nike,18,35,USA,2015,12,18,14
Loving the retro design of my new Nike sneakers.,PetLove,Twitter,#Nike,25,50,Canada,2016,2,10,19
Feeling disappointed with the lack of support in my Nike sports bra.,FestivalFan,Instagram,#Nike,20,40,UK,2017,9,25,11
"Just received my Nike order, everything looks perfect!",DIYEnthusiast,Facebook,#Nike,15,30,Australia,2018,4,15,16
Loving the versatility of my new Nike backpack.,PuzzleMaster,Twitter,#Nike,22,45,India,2019,11,28,18
Excited to try out the new Nike trail running shoes.,NatureAdmirer,Instagram,#Nike,18,35,USA,2020,5,11,15
Feeling disappointed with the lack of size options in my favorite Nike shirt.,ChildhoodJoy,Facebook,#Nike,25,50,Canada,2021,2,5,9
Nike's dedication to innovation keeps me coming back for more.,StrugglingSoul,Twitter,#Nike,5,10,USA,2021,3,10,8
"Just got my hands on the new Adidas Ultraboost, they're incredibly comfortable!",MourningHeart,Instagram,#Adidas,8,15,Canada,2022,7,5,15
"Disappointed with the quality of my Adidas tracksuit, stitching came undone after a few washes.",SolitarySoul,Facebook,#Adidas,10,20,UK,2019,11,18,21
Can't wait to hit the soccer field in my new Adidas cleats.,EnviousObserver,Twitter,#Adidas,12,25,India,2020,8,12,11
Adidas' prices seem to be more reasonable compared to other brands.,BitterHeart,Instagram,#Adidas,7,15,Australia,2018,5,22,14
Frustration mounts as obstacles block my path.,BlockedGoals,Facebook,#Adidas,10,20,USA,2017,1,30,16
Loving the sleek design of my new Adidas backpack.,BoredMind,Twitter,#Adidas,8,15,Canada,2016,9,28,19
"My Adidas sneakers have lasted through countless workouts, great durability!",WorriedMind,Instagram,#Adidas,12,25,UK,2019,4,15,9
Adidas' store layout is always modern and welcoming.,FearfulSoul,Facebook,#Adidas,15,30,India,2021,12,3,18
"Just signed up for the Adidas running app, excited to track my progress.",OverwhelmedHeart,Twitter,#Adidas,8,15,Australia,2020,6,20,14
Wondering if Adidas offers any eco-friendly clothing options.,CovetousMind,Instagram,#Adidas,10,20,Canada,2018,11,7,11
Excited to break in my new Adidas hiking boots on my next adventure.,RemorsefulSoul,Facebook,#Adidas,12,25,UK,2017,8,25,16
"Considering trying out Adidas' new line of basketball shoes, anyone have recommendations?",DisgustedHeart,Twitter,#Adidas,7,15,India,2019,2,11,9
"Received my Adidas order with missing items, disappointed with the fulfillment process.",HopelessHeart,Instagram,#Adidas,10,20,USA,2016,4,2,20
"Adidas' commitment to sustainability is commendable, glad to support eco-friendly initiatives.",TearfulSoul,Facebook,#Adidas,12,25,Canada,2015,10,18,15
Can't wait to hit the gym in my new Adidas workout gear.,IsolatedMind,Twitter,#Adidas,15,30,UK,2019,7,12,18
Disappointed with the lack of color options in my favorite Adidas t-shirt.,SelfDoubt,Instagram,#Adidas,8,15,India,2018,6,3,16
"My Adidas hoodie is my go-to for chilly mornings, so cozy!",BrokenTrust,Facebook,#Adidas,10,20,Australia,2022,1,15,12
"Just ordered a custom pair of Adidas sneakers, can't wait to see how they turn out.",ExplosiveMind,Twitter,#Adidas,12,25,USA,2017,4,10,14
Excited to participate in the upcoming Adidas-sponsored running event.,MundaneHeart,Instagram,#Adidas,7,15,Canada,2016,11,28,19
Wondering if Adidas will ever release a line of sustainable swimwear.,RestlessMind,Facebook,#Adidas,10,20,UK,2018,9,5,9
Feeling proud to support a brand like Adidas that stands for inclusivity and diversity.,FearfulJourney,Twitter,#Adidas,15,30,India,2021,10,22,18
Loving the retro design of my new Adidas tracksuit.,OverwhelmedSoul,Instagram,#Adidas,8,15,Australia,2019,5,8,14
My Adidas running shoes are starting to show signs of wear after just a few months.,GreenEyedMonster,Facebook,#Adidas,10,20,Canada,2017,3,20,11
"Just received my Adidas order, everything looks perfect!",RegretfulMind,Twitter,#Adidas,12,25,USA,2018,12,15,16
Adidas' dedication to innovation keeps me coming back for more.,CorruptedHeart,Instagram,#Adidas,7,15,UK,2016,7,1,9
"Just completed my first run with the Adidas running app, feeling accomplished!",DrowningSoul,Facebook,#Adidas,10,20,India,2020,8,20,20
"Neutral: Considering trying out Adidas' new yoga mat, anyone have recommendations?",StormyHeart,Twitter,#Adidas,12,25,Canada,2021,2,25,15
Loving the attention to detail in my new Adidas sneakers.,EchoingSoul,Instagram,#Adidas,15,30,Australia,2019,9,12,18
Feeling disappointed with the lack of color options in my favorite Adidas shorts.,PoisonedMind,Facebook,#Adidas,8,15,USA,2018,8,5,16
Adidas' commitment to community outreach is commendable.,UnforgivingSoul,Twitter,#Adidas,10,20,India,2017,1,12,12
Can't wait to break in my new Adidas soccer cleats on the field.,ThunderingMind,Instagram,#Adidas,12,25,UK,2022,4,5,14
Disappointed with the lack of responsiveness from Adidas' customer service team.,StagnantHeart,Facebook,#Adidas,7,15,Canada,2021,10,2,19
Loving the vintage vibe of my new Adidas jacket.,InquisitiveMind,Twitter,#Adidas,15,30,USA,2023,4,15,10
Feeling disappointed with the lack of support in my Adidas sports bra.,ApatheticObserver,Instagram,#Adidas,7,15,Canada,2022,11,28,17
Excited to try out the new Adidas trail running shoes.,SeekingClarity,Facebook,#Adidas,10,20,UK,2020,4,2,9
Wondering if Adidas will ever release a line of sustainable ski wear.,EmotionallyDistant,Twitter,#Adidas,8,15,India,2021,8,10,14
Feeling proud to support a brand like Adidas that stands for environmental sustainability.,SunsetDreamer,Instagram,#Adidas,12,25,Australia,2019,6,18,20
Can't wait to hit the slopes in my new Adidas snowboarding gear.,MemoryLaneTraveler,Facebook,#Adidas,10,20,USA,2018,2,5,15
"Disappointed with the quality of my Adidas duffle bag, strap broke after just a few uses.",MixedFeelings,Twitter,#Adidas,12,25,Canada,2022,5,30,11
"Just placed an order for the new Adidas swimsuit, hoping it fits well.",ZenLifestyle,Instagram,#Adidas,15,30,UK,2023,1,10,16
Excited to participate in the upcoming Adidas-sponsored basketball tournament.,ResilientSpirit,Facebook,#Adidas,10,20,India,2020,9,18,13
Wondering if Adidas will ever release a line of eco-friendly hiking boots.,NatureSoul,Twitter,#Adidas,12,25,Australia,2021,7,3,19
Feeling disappointed with the lack of options in my Adidas size range.,EternalLearner,Instagram,#Adidas,20,40,USA,2022,10,8,8
Loving the classic design of my new Adidas sneakers.,AloofObserver,Facebook,#Adidas,10,20,Canada,2023,3,22,16
"My Adidas workout leggings ripped after just a few wears, poor quality.",ThoughtExplorer,Twitter,#Adidas,15,30,UK,2021,5,15,11
"Just received my Adidas order, everything looks perfect!",StoicSoul,Instagram,#Adidas,8,15,Australia,2019,12,28,14
Adidas' commitment to innovation in sports technology is unmatched.,DreamerInSilence,Facebook,#Adidas,12,25,India,2020,3,1,19
"Just completed my first yoga session with the Adidas yoga mat, feeling rejuvenated!",JournalKeeper,Twitter,#Adidas,10,20,Canada,2018,7,10,15
"Neutral: Considering trying out Adidas' new gym bag, anyone have recommendations?",ThreadWeaver,Instagram,#Adidas,12,25,UK,2022,1,5,10
Loving the comfort and style of my new Adidas slides.,SelfLoveAdvocate,Facebook,#Adidas,15,30,Australia,2021,8,20,16
Feeling disappointed with the lack of support in my Adidas sports bra.,DreamChaser,Twitter,#Adidas,18,35,USA,2019,11,3,13
Adidas' dedication to sustainable materials is commendable.,OceanSoul,Instagram,#Adidas,25,50,Canada,2020,4,12,19
Can't wait to hit the trails in my new Adidas hiking boots.,HorizonExplorer,Facebook,#Adidas,22,45,India,2022,4,15,8
Disappointed with the lack of durability in my Adidas backpack.,NonchalantSpirit,Twitter,#Adidas,9,18,UK,2023,2,10,17
"Just placed an order for the new Adidas swim shorts, hoping they fit well.",ComplexThinker,Instagram,#Adidas,14,28,Australia,2020,8,5,12
Excited to participate in the upcoming Adidas-sponsored tennis tournament.,ShieldedHeart,Facebook,#Adidas,10,20,USA,2021,12,1,15
Wondering if Adidas will ever release a line of sustainable outdoor gear.,SymphonySoul,Twitter,#Adidas,13,26,Canada,2019,3,25,21
Feeling proud to support a brand like Adidas that prioritizes social responsibility.,YearbookExplorer,Instagram,#Adidas,12,25,India,2017,6,18,14
Can't wait to hit the slopes in my new Adidas ski jacket.,DecisiveDilemma,Facebook,#Adidas,15,30,Australia,2022,7,8,11
Disappointed with the lack of response from Adidas regarding my warranty claim.,ImperfectHarmony,Twitter,#Adidas,18,36,Canada,2023,5,15,16
Loving the sleek design of my new Adidas gym bag.,VisionarySpirit,Instagram,#Adidas,20,40,UK,2021,9,10,14
Feeling disappointed with the lack of cushioning in my Adidas running shoes.,ForestDreamer,Facebook,#Adidas,25,50,USA,2020,2,28,18
"Just received my Adidas order, everything looks perfect!",SilentSpectator,Instagram,#Adidas,9,18,India,2023,3,10,16
Adidas' commitment to innovation in sports technology is unmatched.,MazeNavigator,Facebook,#Adidas,14,28,Australia,2021,5,2,11
"Just completed my first yoga session with the Adidas yoga mat, feeling rejuvenated!",ResilientFortress,Twitter,#Adidas,11,22,UK,2019,10,18,14
"Neutral: Considering trying out Adidas' new gym bag, anyone have recommendations?",CanvasDreamer,Instagram,#Adidas,13,26,USA,2020,1,5,20
Loving the comfort and style of my new Adidas slides.,DiaryExplorer,Facebook,#Adidas,12,25,Canada,2018,8,10,15
Feeling disappointed with the lack of support in my Adidas sports bra.,CrossroadsTraveler,Twitter,#Adidas,15,30,India,2022,1,15,10
Adidas' dedication to sustainable materials is commendable.,MosaicDreamer,Instagram,#Adidas,18,36,Australia,2021,7,20,16
Can't wait to hit the trails in my new Adidas hiking boots.,PathfinderSpirit,Facebook,#Adidas,20,40,USA,2019,12,3,13
Disappointed with the lack of durability in my Adidas backpack.,RaindropHarmony,Twitter,#Adidas,25,50,Canada,2020,4,12,19
"Just placed an order for the new Adidas swim shorts, hoping they fit well.",SeekerOfUnknowns,Instagram,#Adidas,22,45,UK,2022,5,8,8
Excited to participate in the upcoming Adidas-sponsored tennis tournament.,NonchalantWanderer,Facebook,#Adidas,9,18,India,2023,2,22,17
Wondering if Adidas will ever release a line of sustainable outdoor gear.,ShadowedSeeker,Twitter,#Adidas,14,28,Australia,2020,6,5,12
Feeling proud to support a brand like Adidas that prioritizes social responsibility.,TurbulentShield,Instagram,#Adidas,10,20,Canada,2021,11,30,15
Can't wait to hit the slopes in my new Adidas ski jacket.,WistfulPainter,Facebook,#Adidas,13,26,UK,2019,2,25,21
Disappointed with the lack of response from Adidas regarding my warranty claim.,TaleWeaver,Twitter,#Adidas,12,25,USA,2017,5,18,14
Loving the sleek design of my new Adidas gym bag.,CrossroadsExplorer,Instagram,#Adidas,15,30,Canada,2022,8,5,11
Feeling disappointed with the lack of cushioning in my Adidas running shoes.,MosaicArtist,Facebook,#Adidas,18,36,Australia,2023,6,15,16
"Enjoying my morning coffee from Starbucks, the perfect way to start the day!",DreamSculptor,Twitter,#Starbucks,20,40,UK,2021,10,10,14
"Disappointed with the long wait times at my local Starbucks, need to improve efficiency.",MoonlitSoul,Instagram,#Starbucks,25,50,USA,2020,5,12,19
"Can't wait to try the new seasonal drink at Starbucks, heard it's delicious.",FearlessExplorer,Facebook,#Starbucks,22,44,India,2022,12,1,9
Starbucks' prices seem a bit high compared to other coffee shops.,TurbulentShield,Instagram,#Starbucks,10,20,Canada,2021,11,30,15
Starbucks' collaboration with [celebrity/artist] is intriguing.,JoyfulDancer,Twitter,#Starbucks,15,30,USA,2018,7,12,17
Loving the cozy ambiance of my local Starbucks store.,SereneBasker,Facebook,#Starbucks,18,36,Australia,2020,9,5,20
My Starbucks reusable cup is my favorite accessory.,DreamPainter,Instagram,#Starbucks,12,24,India,2022,4,18,8
"Just signed up for the Starbucks rewards program, excited for the perks.",OakAchiever,Twitter,#Starbucks,25,50,Canada,2019,12,10,12
Wondering if Starbucks offers any vegan-friendly pastry options.,HeartGardener,Facebook,#Starbucks,20,40,USA,2023,2,28,9
Excited to try out the new Starbucks Reserve coffee blend.,ThreadWeaver,Instagram,#Starbucks,15,30,UK,2018,4,3,14
"Considering trying out Starbucks' new breakfast menu, anyone have recommendations?",CloudCaretaker,Twitter,#Starbucks,18,36,Australia,2022,6,20,10
"Received my Starbucks order with the wrong drink, disappointed with the accuracy.",RainDancer,Facebook,#Starbucks,22,44,Canada,2020,7,8,18
"Starbucks' commitment to sustainability is commendable, glad to support eco-friendly initiatives.",SkyPainter,Instagram,#Starbucks,20,40,India,2021,8,15,11
Can't wait to grab my favorite Starbucks drink on my way to work.,PhoenixExplorer,Twitter,#Starbucks,15,30,UK,2019,10,25,16
Disappointed with the lack of dairy-free milk options at Starbucks.,SunriseNavigator,Facebook,#Starbucks,12,24,USA,2023,10,5,7
"My Starbucks mug keeps my coffee hot for hours, love it!",SandStrider,Instagram,#Starbucks,25,50,Australia,2022,2,15,13
"Just ordered a custom Starbucks gift card, perfect for gifting.",NightSerenader,Twitter,#Starbucks,13,26,Canada,2021,5,8,22
Excited to participate in the upcoming Starbucks trivia night.,KnowledgeSeeker,Instagram,#Starbucks,17,34,USA,2020,11,29,14
Wondering if Starbucks will ever release a line of reusable straws.,BreezeWaltzer,Facebook,#Starbucks,14,28,UK,2019,9,14,10
Feeling proud to support a brand like Starbucks that supports fair trade coffee.,StarNavigator,Twitter,#Starbucks,19,38,Australia,2022,3,12,19
Loving the new design of my Starbucks tumbler.,MeadowSprinter,Instagram,#Starbucks,16,32,India,2023,3,30,16
My Starbucks barista was incredibly friendly and made my day.,RainNurturer,Facebook,#Starbucks,21,42,Canada,2021,7,1,12
"Just received my Starbucks order, everything looks perfect!",PeakConqueror,Twitter,#Starbucks,23,46,USA,2020,1,5,8
Starbucks' dedication to innovation in coffee brewing is impressive.,DawnGardener,Instagram,#Starbucks,14,28,UK,2022,7,17,6
"Just completed my first coffee tasting at Starbucks, feeling enlightened!",CarnivalDreamer,Facebook,#Starbucks,24,48,Australia,2018,8,22,17
"Neutral: Considering trying out Starbucks' new pastry, anyone have recommendations?",SkyArtist,Twitter,#Starbucks,18,36,India,2021,12,8,14
Loving the aroma of my freshly brewed Starbucks coffee.,RiverNavigator,Instagram,#Starbucks,20,40,Canada,2019,4,27,9
Feeling disappointed with the lack of seating options at my local Starbucks.,LanternWanderer,Facebook,#Starbucks,16,32,USA,2023,9,3,21
Starbucks' commitment to community outreach is commendable.,DreamSoarer,Twitter,#Starbucks,22,44,UK,2020,6,10,10
Can't wait to try the new Starbucks holiday drink lineup.,SunsetAdmirer,Instagram,#Starbucks,19,38,Australia,2022,4,1,18
Disappointed with the lack of response from Starbucks regarding my feedback.,DanceStrider,Facebook,#Starbucks,23,46,Canada,2021,1,15,13
Loving the festive decorations at my local Starbucks store.,WindWhisperer,Twitter,#Starbucks,15,30,India,2023,5,6,7
Feeling disappointed with the lack of variety in Starbucks' food options.,JugglingArtist,Instagram,#Starbucks,25,50,USA,2019,11,18,15
Excited to try out the new Starbucks cold brew flavors.,StarStoryteller,Facebook,#Starbucks,14,28,UK,2020,8,29,20
Wondering if Starbucks will ever release a line of sustainable to-go cups.,WaveNavigator,Twitter,#Starbucks,17,34,Australia,2022,10,30,11
Feeling proud to support a brand like Starbucks that prioritizes employee benefits.,RainNurturer,Instagram,#Starbucks,21,42,Canada,2021,7,1,12
Can't wait to try the new Starbucks Reserve blend.,PeakConqueror,Twitter,#Starbucks,23,46,USA,2020,1,5,8
Disappointed with the inconsistency in drink quality across different Starbucks locations.,DawnGardener,Instagram,#Starbucks,14,28,UK,2022,7,17,6
"My Starbucks app makes ordering so convenient, love the mobile payment option.",CarnivalDreamer,Facebook,#Starbucks,24,48,Australia,2018,8,22,17
"Just received my Starbucks order, everything looks perfect!",SkyArtist,Twitter,#Starbucks,18,36,India,2021,12,8,14
Starbucks' dedication to providing a welcoming atmosphere is unmatched.,RiverNavigator,Instagram,#Starbucks,20,40,Canada,2019,4,27,9
"Just completed my first coffee brewing class at Starbucks, feeling like a pro!",LanternWanderer,Facebook,#Starbucks,16,32,USA,2023,9,3,21
"Neutral: Considering trying out Starbucks' new sandwich, anyone have recommendations?",DreamSoarer,Twitter,#Starbucks,22,44,UK,2020,6,10,10
Loving the taste of my customized Starbucks Frappuccino.,SunsetAdmirer,Instagram,#Starbucks,19,38,Australia,2022,4,1,18
Feeling disappointed with the lack of seasonal drinks at Starbucks.,DanceStrider,Facebook,#Starbucks,23,46,Canada,2021,1,15,13
Starbucks' commitment to sustainable sourcing of coffee beans is admirable.,WindWhisperer,Twitter,#Starbucks,15,30,India,2023,5,6,7
Can't wait to try the new Starbucks pastry selection.,JugglingArtist,Instagram,#Starbucks,25,50,USA,2019,11,18,15
Disappointed with the lack of cleanliness at my local Starbucks store.,StarStoryteller,Facebook,#Starbucks,14,28,UK,2020,8,29,20
Loving the convenience of the Starbucks drive-thru.,WaveNavigator,Twitter,#Starbucks,17,34,Australia,2022,10,30,11
Feeling disappointed with the lack of options in Starbucks' dessert menu.,RainNurturer,Instagram,#Starbucks,21,42,Canada,2021,7,1,12
Excited to try out the new Starbucks nitro cold brew.,PeakConqueror,Twitter,#Starbucks,23,46,USA,2020,1,5,8
